location,property_type,bedrooms,bathrooms,size_sqft,amenities,amenity_score,has_parking,has_pool,has_gym,has_security,has_garden,has_generator,has_borehole,has_staff_quarters,has_aircon,has_internet,price_kes,price_per_sqft,listing_date,month,month_name,is_land,source
"Gigiri, Westlands",House,6,6,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,750000.0,290.32,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",House,4,4,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,451745.0,174.87,2026-02-22,2,February,0,BuyRentKenya
Ridgeways,Townhouse,5,6,5877.09,None,0,0,0,0,0,0,0,0,0,0,0,280000.0,47.64,2026-02-22,2,February,0,BuyRentKenya
Kitengela,House,2,2,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,110000.0,42.58,2026-02-22,2,February,0,BuyRentKenya
Kiambu Road,Villa,4,4,3772.75,None,0,0,0,0,0,0,0,0,0,0,0,350000.0,92.77,2026-02-22,2,February,0,BuyRentKenya
Karen,House,4,4,2583.34,Aircon,1,0,0,0,0,0,0,0,0,1,0,250000.0,96.77,2026-02-22,2,February,0,BuyRentKenya
Karen,Apartment,1,1,1506.95,None,0,0,0,0,0,0,0,0,0,0,0,90000.0,59.72,2026-02-22,2,February,0,BuyRentKenya
Karen,House,5,0,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,250000.0,96.77,2026-02-22,2,February,0,BuyRentKenya
Kiambu Road,Villa,4,5,3831.95,None,0,0,0,0,0,0,0,0,0,0,0,360000.0,93.95,2026-02-22,2,February,0,BuyRentKenya
Kiambu Road,Townhouse,4,4,3681.25,None,0,0,0,0,0,0,0,0,0,0,0,150000.0,40.75,2026-02-22,2,February,0,BuyRentKenya
Kileleshwa,Townhouse,4,3,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,270000.0,156.77,2026-02-22,2,February,0,BuyRentKenya
Kileleshwa,Townhouse,2,2,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,190000.0,110.32,2026-02-22,2,February,0,BuyRentKenya
"Spring Valley, Westlands",House,5,4,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,400000.0,154.84,2026-02-22,2,February,0,BuyRentKenya
Syokimau,Townhouse,5,5,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,120000.0,69.68,2026-02-22,2,February,0,BuyRentKenya
"Spring Valley, Westlands",Villa,4,4,3772.75,None,0,0,0,0,0,0,0,0,0,0,0,340000.0,90.12,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,440000.0,170.32,2026-02-22,2,February,0,BuyRentKenya
"Lower Kabete, Westlands",House,2,2,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,100000.0,38.71,2026-02-22,2,February,0,BuyRentKenya
"Nyari, Westlands",House,4,4,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,451500.0,174.77,2026-02-22,2,February,0,BuyRentKenya
"Lake View, Westlands",Bungalow,5,6,1700.7,Staff quarters,1,0,0,0,0,0,0,0,1,0,0,580000.0,341.04,2026-02-22,2,February,0,BuyRentKenya
Kiambu Road,Townhouse,5,5,4832.99,Staff quarters,1,0,0,0,0,0,0,0,1,0,0,250000.0,51.73,2026-02-22,2,February,0,BuyRentKenya
"Kitisuru, Westlands",House,5,6,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,412000.0,159.48,2026-02-22,2,February,0,BuyRentKenya
"Nyari, Westlands",House,5,6,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,400000.0,154.84,2026-02-22,2,February,0,BuyRentKenya
"Rosslyn, Westlands",House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,646000.0,250.06,2026-02-22,2,February,0,BuyRentKenya
Lavington,Villa,5,5,3772.75,"Garden, Staff quarters",2,0,0,0,0,1,0,0,1,0,0,350000.0,92.77,2026-02-22,2,February,0,BuyRentKenya
"Loresho, Westlands",House,4,4,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,619000.0,239.61,2026-02-22,2,February,0,BuyRentKenya
"Lake View, Westlands",Townhouse,5,5,1722.22,Aircon,1,0,0,0,0,0,0,0,0,1,0,580500.0,337.06,2026-02-22,2,February,0,BuyRentKenya
"Lower Kabete, Westlands",Villa,5,5,3772.75,None,0,0,0,0,0,0,0,0,0,0,0,750000.0,198.79,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",House,4,4,4520.84,None,0,0,0,0,0,0,0,0,0,0,0,390000.0,86.27,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",House,5,5,4305.56,None,0,0,0,0,0,0,0,0,0,0,0,370000.0,85.94,2026-02-22,2,February,0,BuyRentKenya
"Gigiri, Westlands",House,5,4,2583.34,Aircon,1,0,0,0,0,0,0,0,0,1,0,270000.0,104.52,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",Townhouse,4,4,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,387000.0,224.71,2026-02-22,2,February,0,BuyRentKenya
"Gigiri, Westlands",House,4,2,3444.45,None,0,0,0,0,0,0,0,0,0,0,0,270000.0,78.39,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,618960.0,239.6,2026-02-22,2,February,0,BuyRentKenya
Lavington,Townhouse,5,5,1722.22,Aircon,1,0,0,0,0,0,0,0,0,1,0,300000.0,174.19,2026-02-22,2,February,0,BuyRentKenya
"Westlands Area, Westlands",Townhouse,3,1,1722.22,Staff quarters,1,0,0,0,0,0,0,0,1,0,0,110000.0,63.87,2026-02-22,2,February,0,BuyRentKenya
"Thigiri, Westlands",House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,490000.0,189.68,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,490000.0,189.68,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",House,4,4,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,850000.0,329.03,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",House,1,1,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,129330.0,50.06,2026-02-22,2,February,0,BuyRentKenya
Lavington,House,4,4,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,430000.0,166.45,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",House,2,2,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,232794.0,90.11,2026-02-22,2,February,0,BuyRentKenya
Ridgeways,House,4,4,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,350000.0,135.48,2026-02-22,2,February,0,BuyRentKenya
"Spring Valley, Westlands",House,4,4,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,330000.0,127.74,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,430000.0,166.45,2026-02-22,2,February,0,BuyRentKenya
"Lower Kabete, Westlands",Townhouse,4,4,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,580000.0,336.77,2026-02-22,2,February,0,BuyRentKenya
"Gigiri, Westlands",House,2,3,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,464400.0,179.77,2026-02-22,2,February,0,BuyRentKenya
"Kitisuru, Westlands",Townhouse,4,5,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,774000.0,449.42,2026-02-22,2,February,0,BuyRentKenya
"Spring Valley, Westlands",Townhouse,4,5,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,280000.0,162.58,2026-02-22,2,February,0,BuyRentKenya
/ month,House,5,0,2583.34,Staff quarters,1,0,0,0,0,0,0,0,1,0,0,400000.0,154.84,2026-02-22,2,February,0,BuyRentKenya
Lavington,Townhouse,5,6,1722.22,Security,1,0,0,0,1,0,0,0,0,0,0,350000.0,203.23,2026-02-22,2,February,0,BuyRentKenya
"Gigiri, Westlands",House,5,6,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,400000.0,154.84,2026-02-22,2,February,0,BuyRentKenya
"Nyari, Westlands",Townhouse,2,2,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,250000.0,145.16,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",House,5,6,2583.34,Security,1,0,0,0,1,0,0,0,0,0,0,420000.0,162.58,2026-02-22,2,February,0,BuyRentKenya
Muthaiga,House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,630000.0,243.87,2026-02-22,2,February,0,BuyRentKenya
"Lake View, Westlands",House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,580500.0,224.71,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",Townhouse,4,4,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,445000.0,258.39,2026-02-22,2,February,0,BuyRentKenya
Lavington,Townhouse,6,6,1722.22,Security,1,0,0,0,1,0,0,0,0,0,0,400000.0,232.26,2026-02-22,2,February,0,BuyRentKenya
Lavington,Villa,6,6,3772.75,None,0,0,0,0,0,0,0,0,0,0,0,460000.0,121.93,2026-02-22,2,February,0,BuyRentKenya
"Loresho, Westlands",Apartment,3,3,1506.95,Garden,1,0,0,0,0,1,0,0,0,0,0,412320.0,273.61,2026-02-22,2,February,0,BuyRentKenya
Kiambu Road,Bungalow,4,3,1700.7,Aircon,1,0,0,0,0,0,0,0,0,1,0,350000.0,205.8,2026-02-22,2,February,0,BuyRentKenya
Karen,Townhouse,4,3,1722.22,Garden,1,0,0,0,0,1,0,0,0,0,0,200000.0,116.13,2026-02-22,2,February,0,BuyRentKenya
Karen,Townhouse,3,3,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,150000.0,87.1,2026-02-22,2,February,0,BuyRentKenya
Lavington,Townhouse,5,5,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,775000.0,450.0,2026-02-22,2,February,0,BuyRentKenya
Kiambu Road,Townhouse,3,3,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,180000.0,104.52,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",Townhouse,5,5,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,586000.0,340.26,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",Townhouse,3,3,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,212000.0,123.1,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",Townhouse,2,2,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,286000.0,166.06,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",Townhouse,3,3,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,325000.0,188.71,2026-02-22,2,February,0,BuyRentKenya
"Garden Estate, Roysambu",Villa,3,3,3772.75,Garden,1,0,0,0,0,1,0,0,0,0,0,160000.0,42.41,2026-02-22,2,February,0,BuyRentKenya
"Westlands Area, Westlands",Townhouse,4,4,1722.22,Security,1,0,0,0,1,0,0,0,0,0,0,260000.0,150.97,2026-02-22,2,February,0,BuyRentKenya
Lavington,Townhouse,4,4,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,300000.0,174.19,2026-02-22,2,February,0,BuyRentKenya
"Waiyaki Way, Westlands",Townhouse,5,5,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,520000.0,301.94,2026-02-22,2,February,0,BuyRentKenya
Lavington,Townhouse,5,5,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,585000.0,339.68,2026-02-22,2,February,0,BuyRentKenya
Karen,House,3,0,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,280000.0,108.39,2026-02-22,2,February,0,BuyRentKenya
Karen,House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,500000.0,193.55,2026-02-22,2,February,0,BuyRentKenya
"Lower Kabete, Westlands",Townhouse,5,5,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,709000.0,411.68,2026-02-22,2,February,0,BuyRentKenya
Karen,House,3,2,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,270000.0,104.52,2026-02-22,2,February,0,BuyRentKenya
Karen,House,4,4,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,300000.0,116.13,2026-02-22,2,February,0,BuyRentKenya
"Rosslyn, Westlands",Villa,5,5,3772.75,None,0,0,0,0,0,0,0,0,0,0,0,646000.0,171.23,2026-02-22,2,February,0,BuyRentKenya
"Kitisuru, Westlands",House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,780000.0,301.93,2026-02-22,2,February,0,BuyRentKenya
"Kitisuru, Westlands",House,1,1,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,80000.0,30.97,2026-02-22,2,February,0,BuyRentKenya
Lavington,Bungalow,4,3,1700.7,Staff quarters,1,0,0,0,0,0,0,0,1,0,0,350000.0,205.8,2026-02-22,2,February,0,BuyRentKenya
Lavington,Villa,5,6,3772.75,"Pool, Staff quarters",2,0,1,0,0,0,0,0,1,0,0,775000.0,205.42,2026-02-22,2,February,0,BuyRentKenya
Lavington,Townhouse,5,5,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,265000.0,153.87,2026-02-22,2,February,0,BuyRentKenya
Muthaiga,House,2,3,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,455000.0,176.13,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",House,5,4,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,350000.0,135.48,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",Villa,5,5,3772.75,None,0,0,0,0,0,0,0,0,0,0,0,350000.0,92.77,2026-02-22,2,February,0,BuyRentKenya
"Lake View, Westlands",Townhouse,4,4,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,580000.0,336.77,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",Townhouse,5,5,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,450000.0,261.29,2026-02-22,2,February,0,BuyRentKenya
Kiambu Road,House,3,3,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,350000.0,135.48,2026-02-22,2,February,0,BuyRentKenya
Ridgeways,Villa,4,4,3772.75,None,0,0,0,0,0,0,0,0,0,0,0,516000.0,136.77,2026-02-22,2,February,0,BuyRentKenya
"Westlands Area, Westlands",Townhouse,4,4,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,250000.0,145.16,2026-02-22,2,February,0,BuyRentKenya
Lavington,House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,380000.0,147.1,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",Townhouse,4,4,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,413000.0,239.81,2026-02-22,2,February,0,BuyRentKenya
"Gigiri, Westlands",Townhouse,3,4,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,450000.0,261.29,2026-02-22,2,February,0,BuyRentKenya
Lavington,Townhouse,5,6,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,390000.0,226.45,2026-02-22,2,February,0,BuyRentKenya
"Westlands Area, Westlands",Townhouse,4,4,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,300000.0,174.19,2026-02-22,2,February,0,BuyRentKenya
"Westlands Area, Westlands",Villa,4,3,3772.75,Staff quarters,1,0,0,0,0,0,0,0,1,0,0,150000.0,39.76,2026-02-22,2,February,0,BuyRentKenya
Lavington,Villa,5,6,3772.75,None,0,0,0,0,0,0,0,0,0,0,0,700000.0,185.54,2026-02-22,2,February,0,BuyRentKenya
Lavington,Townhouse,5,6,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,275000.0,159.68,2026-02-22,2,February,0,BuyRentKenya
Lavington,House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,430000.0,166.45,2026-02-22,2,February,0,BuyRentKenya
"Nyari, Westlands",House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,450000.0,174.19,2026-02-22,2,February,0,BuyRentKenya
Karen,House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,360000.0,139.35,2026-02-22,2,February,0,BuyRentKenya
Lavington,House,4,4,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,400000.0,154.84,2026-02-22,2,February,0,BuyRentKenya
Lavington,Townhouse,4,5,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,270000.0,156.77,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",House,5,4,2583.34,"Aircon, Staff quarters",2,0,0,0,0,0,0,0,1,1,0,320000.0,123.87,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",Townhouse,5,5,1722.22,"Aircon, Garden",2,0,0,0,0,1,0,0,0,1,0,350000.0,203.23,2026-02-22,2,February,0,BuyRentKenya
Lavington,Townhouse,5,6,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,180000.0,104.52,2026-02-22,2,February,0,BuyRentKenya
Kileleshwa,Townhouse,2,2,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,180000.0,104.52,2026-02-22,2,February,0,BuyRentKenya
Lavington,Townhouse,5,4,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,500000.0,290.32,2026-02-22,2,February,0,BuyRentKenya
Lavington,Townhouse,4,5,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,450000.0,261.29,2026-02-22,2,February,0,BuyRentKenya
/ month,House,5,0,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,370000.0,143.23,2026-02-22,2,February,0,BuyRentKenya
Lavington,Townhouse,6,6,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,450000.0,261.29,2026-02-22,2,February,0,BuyRentKenya
"Nyari, Westlands",Bungalow,5,6,1700.7,None,0,0,0,0,0,0,0,0,0,0,0,450000.0,264.6,2026-02-22,2,February,0,BuyRentKenya
"Nyari, Westlands",House,4,4,4090.28,Staff quarters,1,0,0,0,0,0,0,0,1,0,0,280000.0,68.45,2026-02-22,2,February,0,BuyRentKenya
"Brookside, Westlands",Townhouse,4,5,1722.22,Aircon,1,0,0,0,0,0,0,0,0,1,0,300000.0,174.19,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",Villa,3,3,3772.75,None,0,0,0,0,0,0,0,0,0,0,0,322500.0,85.48,2026-02-22,2,February,0,BuyRentKenya
Muthaiga,Bungalow,4,5,1700.7,None,0,0,0,0,0,0,0,0,0,0,0,500000.0,294.0,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",Townhouse,4,4,2475.7,None,0,0,0,0,0,0,0,0,0,0,0,200000.0,80.79,2026-02-22,2,February,0,BuyRentKenya
Ridgeways,House,2,2,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,120000.0,46.45,2026-02-22,2,February,0,BuyRentKenya
Ngong Road,House,1,2,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,37000.0,14.32,2026-02-22,2,February,0,BuyRentKenya
"Kitisuru, Westlands",Townhouse,4,4,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,420000.0,243.87,2026-02-22,2,February,0,BuyRentKenya
"Rosslyn, Westlands",Townhouse,6,0,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,630000.0,365.81,2026-02-22,2,February,0,BuyRentKenya
Lavington,House,3,3,2583.34,Garden,1,0,0,0,0,1,0,0,0,0,0,350000.0,135.48,2026-02-22,2,February,0,BuyRentKenya
"Nyari, Westlands",Villa,5,5,3772.75,Staff quarters,1,0,0,0,0,0,0,0,1,0,0,350000.0,92.77,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",House,2,2,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,140000.0,54.19,2026-02-22,2,February,0,BuyRentKenya
Kileleshwa,Townhouse,5,5,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,200000.0,116.13,2026-02-22,2,February,0,BuyRentKenya
"Spring Valley, Westlands",House,4,4,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,400000.0,154.84,2026-02-22,2,February,0,BuyRentKenya
Karen,House,5,6,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,650000.0,251.61,2026-02-22,2,February,0,BuyRentKenya
Karen,House,3,3,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,200000.0,77.42,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",House,5,4,2583.34,Garden,1,0,0,0,0,1,0,0,0,0,0,480000.0,185.81,2026-02-22,2,February,0,BuyRentKenya
Lavington,Townhouse,5,6,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,380000.0,220.65,2026-02-22,2,February,0,BuyRentKenya
"Nyari, Westlands",House,6,6,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,450000.0,174.19,2026-02-22,2,February,0,BuyRentKenya
Syokimau,Villa,5,5,3772.75,None,0,0,0,0,0,0,0,0,0,0,0,100000.0,26.51,2026-02-22,2,February,0,BuyRentKenya
"Lake View, Westlands",House,4,0,2583.34,Staff quarters,1,0,0,0,0,0,0,0,1,0,0,500000.0,193.55,2026-02-22,2,February,0,BuyRentKenya
Syokimau,Townhouse,4,4,1722.22,Staff quarters,1,0,0,0,0,0,0,0,1,0,0,100000.0,58.06,2026-02-22,2,February,0,BuyRentKenya
Syokimau,House,4,3,2583.34,Staff quarters,1,0,0,0,0,0,0,0,1,0,0,100000.0,38.71,2026-02-22,2,February,0,BuyRentKenya
Syokimau,House,8,8,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,130000.0,50.32,2026-02-22,2,February,0,BuyRentKenya
"Brookside, Westlands",Townhouse,3,4,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,350000.0,203.23,2026-02-22,2,February,0,BuyRentKenya
"Westlands Area, Westlands",Townhouse,5,5,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,260000.0,150.97,2026-02-22,2,February,0,BuyRentKenya
Muthaiga,House,6,6,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,1100000.0,425.81,2026-02-22,2,February,0,BuyRentKenya
Kitengela,House,4,4,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,150000.0,58.06,2026-02-22,2,February,0,BuyRentKenya
Syokimau,Townhouse,5,5,1722.22,Staff quarters,1,0,0,0,0,0,0,0,1,0,0,110000.0,63.87,2026-02-22,2,February,0,BuyRentKenya
Kitengela,House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,100000.0,38.71,2026-02-22,2,February,0,BuyRentKenya
Ridgeways,Villa,4,4,3772.75,None,0,0,0,0,0,0,0,0,0,0,0,320000.0,84.82,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",House,1,1,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,100000.0,38.71,2026-02-22,2,February,0,BuyRentKenya
"Lower Kabete, Westlands",House,4,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,525000.0,203.23,2026-02-22,2,February,0,BuyRentKenya
Kiambu Road,House,5,6,2583.34,Garden,1,0,0,0,0,1,0,0,0,0,0,180000.0,69.68,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",Townhouse,4,4,1722.22,Garden,1,0,0,0,0,1,0,0,0,0,0,190000.0,110.32,2026-02-22,2,February,0,BuyRentKenya
Kiambu Road,Townhouse,4,4,1722.22,Pool,1,0,1,0,0,0,0,0,0,0,0,180000.0,104.52,2026-02-22,2,February,0,BuyRentKenya
Kileleshwa,Townhouse,5,6,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,485000.0,281.61,2026-02-22,2,February,0,BuyRentKenya
Kileleshwa,Townhouse,5,6,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,380000.0,220.65,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",Townhouse,4,4,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,646000.0,375.1,2026-02-22,2,February,0,BuyRentKenya
"Nyali Area, Nyali",House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,400000.0,154.84,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,500000.0,193.55,2026-02-22,2,February,0,BuyRentKenya
"Kitisuru, Westlands",House,4,4,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,450000.0,174.19,2026-02-22,2,February,0,BuyRentKenya
Karen,Bungalow,3,4,1700.7,None,0,0,0,0,0,0,0,0,0,0,0,300000.0,176.4,2026-02-22,2,February,0,BuyRentKenya
"Kitisuru, Westlands",House,4,4,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,606000.0,234.58,2026-02-22,2,February,0,BuyRentKenya
